id,external_id,name,equipment,muscle,category,has_gif,gif_url,illustration_slug,match_method,frame1,frame2,frame3,status
"1068","spine/exercise-ball-hug","Exercise Ball Hug","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-hug.gif","","","","","","gif_only"
"1069","spine/exercise-ball-prone-leg-raise","Exercise Ball Prone Leg Raise","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/exercise-ball-prone-leg-raise.gif","","","","","","gif_only"
"1070","spine/hyperextension-on-bench","Hyperextension On Bench","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/hyperextension-on-bench.gif","","","","","","gif_only"
"1071","spine/hyperextension","Hyperextension","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/hyperextension.gif","reverse-hyperextension","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/reverse-hyperextension/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/reverse-hyperextension/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/reverse-hyperextension/frame-3.svg","both"
"1072","spine/lever-back-extension","Lever Back Extension","lever","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/lever-back-extension.gif","back-extension","exact","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/back-extension/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/back-extension/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/back-extension/frame-3.svg","both"
"1073","spine/lower-back-curl","Lower Back Curl","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/lower-back-curl.gif","","","","","","gif_only"
"1074","spine/roller-back-stretch","Roller Back Stretch","bodyweight","spine","stretching","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/roller-back-stretch.gif","","","","","","gif_only"
"1075","spine/sphinx","Sphinx","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/sphinx.gif","","","","","","gif_only"
"1076","spine/spine-stretch","Spine Stretch","bodyweight","spine","stretching","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/spine-stretch.gif","","","","","","gif_only"
"1077","spine/standing-pelvic-tilt","Standing Pelvic Tilt","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/standing-pelvic-tilt.gif","","","","","","gif_only"
